id_prueba,tipo,origen,destino,asunto,resultado_esperado,spf,dkim,dmarc,ubicacion_final,clasificacion_real,observaciones
OR01,open_relay_test,atacante@dominioexterno.test,raxdent@gmail.com,OR01 Open Relay,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,relay_denied,Intento de relay no autenticado rechazado por Postfix con 454 4.7.1 Relay access denied; origen externo 84.123.93.179; helo pruebaexterna.local
AUTO-SOC-0001,open_relay_test,atacante@dominioexterno.test,raxdent@gmail.com,AUTO Open Relay,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,relay_denied,Detectado automaticamente en syslog: Jun 28 15:05:03 mail postfix/smtpd[70818]: NOQUEUE: reject: RCPT from 22.red-88-18-47.staticip.rima-tde.net[88.18.47.22]: 454 4.7.1 <raxdent@gmail.com>: Relay access denied; from=<atacante@dominioexterno.test> to=<raxdent@gmail.com> proto=ESMTP helo=<pruebaexterna.local>
AUTO-SOC-0002,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jun 28 15:10:53 mail postfix/submission/smtpd[71314]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0003,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jun 28 15:14:37 mail postfix/submission/smtpd[71687]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
TLS01,tls_starttls_smtp,mail.phisdefense.com:587,mail.phisdefense.com,TLS01 SMTP STARTTLS 587,seguro,no_aplica,no_aplica,no_aplica,tls_ok,tls_ok,Validacion TLS automatica; verify_return_code=0 ok; Protocol  : TLSv1.3; Cipher    : TLS_AES_256_GCM_SHA384; log=/opt/tfm-metricas/logs/pruebas_soc/tls_auto/TLS01_smtp_starttls_587.log
TLS02,tls_imaps,mail.phisdefense.com:993,mail.phisdefense.com,TLS02 IMAPS TLS 993,seguro,no_aplica,no_aplica,no_aplica,tls_ok,tls_ok,Validacion TLS automatica; verify_return_code=0 ok; Protocol  : TLSv1.3; Cipher    : TLS_AES_256_GCM_SHA384; log=/opt/tfm-metricas/logs/pruebas_soc/tls_auto/TLS02_imaps_993.log
AUTO-SOC-0004,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jun 28 15:26:11 mail postfix/submission/smtpd[72872]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0005,recipient_unknown,tester@dominioexterno.test,usuarioinexistente@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jun 28 15:34:18 mail postfix/smtpd[74172]: NOQUEUE: reject: RCPT from 22.red-88-18-47.staticip.rima-tde.net[88.18.47.22]: 550 5.1.1 <usuarioinexistente@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<tester@dominioexterno.test> to=<usuarioinexistente@phisdefense.com> proto=ESMTP helo=<rcpt01.local>
AUTO-SOC-0006,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jun 28 15:38:33 mail postfix/submission/smtpd[72872]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
SMTPAUTH01,smtp_auth_success,smtp_tfm@phisdefense.com,raxdent@gmail.com,SMTPAUTH01 envio autenticado TFM,permitido,no_aplica,no_aplica,no_aplica,enviado,smtp_auth_success,Envio autenticado correcto mediante puerto 587 STARTTLS SASL AUTH PLAIN; queue_id BF6B443E06; status sent hacia Gmail
DKIMR01,dkim_rotation,s2026._domainkey.phisdefense.com,raxdent@gmail.com,DKIMR01 rotacion selector s2026 TFM,permitido,no_aplica,pass,pass,enviado,dkim_rotation_success,Rotacion DKIM correcta; selector antiguo default mantenido; selector nuevo s2026 publicado y validado con opendkim-testkey key secure key OK; correo firmado con s2026; queue_id 1C4B843E40; status sent hacia Gmail
DKIMNEG01,dkim_broken,sbroken._domainkey.phisdefense.com,raxdent@gmail.com,DKIMNEG01 DKIM roto controlado TFM,fallo_dkim,no_aplica,fail,no_aplica,enviado,dkim_fail_expected,Fallo DKIM controlado: selector sbroken firmado con clave privada distinta a la clave publica publicada en DNS; SigningTable restaurada a s2026 tras la prueba
AUTO-SOC-0007,spoofing_reject,spoofspf@phisdefense.com,dmarc@phisdefense.com,AUTO DMARC Reject,spoofing,fail,fail,fail,rechazado,spoofing,Detectado automaticamente en syslog: Jun 28 19:17:27 mail postfix/cleanup[100118]: 7957F43EA4: milter-reject: END-OF-MESSAGE from 84.123.93.179.dyn.user.ono.com[84.123.93.179]: 5.7.1 rejected by DMARC policy for phisdefense.com; from=<spoofspf@phisdefense.com> to=<dmarc@phisdefense.com> proto=ESMTP helo=<spfneg01.local>
SPFNEG01,spf_fail,spoofspf@phisdefense.com,dmarc@phisdefense.com,SPFNEG01 SPF fail controlado TFM,bloqueado,fail,no_aplica,fail,rechazado,spf_fail_expected,Intento de uso no autorizado de phisdefense.com desde IP externa 84.123.93.179 no incluida en SPF; OpenDMARC registro SPF(mailfrom): phisdefense.com fail; rechazo DMARC p=reject; queue_id 7957F43EA4
